,sotre,sido,gungu,store_address
200,경기시흥시오이도역점,경기,시흥시,경기도시흥시함송로24
201,경기시흥시월곶점,경기,시흥시,경기도시흥시월곶중앙로90
202,경기시흥시은행점,경기,시흥시,경기도시흥시은행로167번길3
203,경기시흥시정왕점,경기,시흥시,경기도시흥시정왕천로427번길6-1102호
204,경기안산시본오1호점,경기,안산시,경기도안산시상록구반석로80
205,경기안산시본오2호점,경기,안산시,경기안산시상록구본원로2길3
206,경기안산시사동점,경기,안산시,경기도안산시상록구감골2로47
207,경기안산시선부1동점,경기,안산시,경기도안산시단원구선부광장서로1길5바동108호
208,경기안산시선부1점,경기,안산시,경기도안산시단원구화정천서로3길8-1
209,경기안산시신길지구점,경기,안산시,경기도안산시단원구도일로24
210,경기안산시신도시점,경기,안산시,경기도안산시단원구광덕3로215
211,경기안산시와동점,경기,안산시,경기도안산시단원구선부로244
212,경기안산시원곡점,경기,안산시,경기도안산시단원구원선로55
213,경기안산시월피점,경기,안산시,경기도안산시상록구예술광장1로48
214,경기안산시일동점,경기,안산시,경기안산시상록구식물원로4길7
215,경기안산시중앙점[B],경기,안산시,경기도안산시단원구예술대학로147
216,경기안산시초지점,경기,안산시,경기도안산시단원구초지로128
217,경기안성시공도2점,경기,안성시,경기안성시공도읍공도3로34-1
218,경기안성시동아방송대점,경기,안성시,경기안성시삼죽면동아예대길61-3
219,경기안성시안성1점[B],경기,안성시,경기안성시안성맞춤대로1104
220,경기안성시일죽점,경기,안성시,경기안성시일죽면금일로476-1
221,경기안성시죽산점,경기,안성시,경기안성시죽산면중부길39
222,경기안성시중앙대점,경기,안성시,경기안성시대덕면중앙대학로1461층
223,경기안성시홍익점,경기,안성시,경기안성시금광면신양복길1
224,경기안양시관양비산점,경기,안양시,경기안양시동안구평촌대로382
225,경기안양시관양지구점,경기,안양시,경기안양시동안구관악대로374번길19
226,경기안양시박달점,경기,안양시,경기안양시만안구양화로148번길15
227,경기안양시비산1호점,경기,안양시,경기안양시동안구경수대로970-16
228,경기안양시석수점,경기,안양시,경기안양시만안구석천로167-3
229,경기안양시안양1호점,경기,안양시,경기안양시만안구냉천로175번길6
230,경기안양시안양2호점,경기,안양시,경기안양시만안구냉천로22
231,경기안양시평촌1호점,경기,안양시,경기안양시동안구달안로153
232,경기안양시평촌2호점,경기,안양시,경기안양시동안구관평로138번길24
233,경기안양시호계2호점,경기,안양시,경기안양시동안구전파로88
234,경기안양시호계갈산점,경기,안양시,경기안양시동안구경수대로610번길66
235,경기안양시호계오전점,경기,안양시,경기안양시동안구포도원로27
236,경기양주시고읍지구점,경기,양주시,경기도양주시고읍로35번길29-7
237,경기양주시광적점,경기,양주시,경기도양주시광적면삼일로23
238,경기양주시덕계점,경기,양주시,경기도양주시평화로1412
239,경기양주시덕정점,경기,양주시,경기도양주시화합로1402번길24-50
240,경기양주시백석점,경기,양주시,경기도양주시백석읍양주산성로544
241,경기양주시송추점,경기,양주시,경기도양주시장흥면호국로569
242,경기양주시신산점,경기,양주시,경기도양주시남면개나리11길38-4
243,경기양주시은현점,경기,양주시,경기양주시은현면은현로61
244,경기양주시장흥점,경기,양주시,경기도양주시장흥면호국로177
245,경기양평군양평점,경기,양평군,경기도양평군양평읍해오름길2
246,경기양평군용두리점,경기,양평군,경기도양평군청운면용두로141
247,경기양평군용문점,경기,양평군,경기도양평군용문면다문북길105
248,경기양평군한화리조트점,경기,양평군,경기양평군옥천면신촌길188
249,경기여주군가남점,경기,여주군,경기도여주시가남읍경충대로1162-20
250,경기여주군여주읍점,경기,여주군,경기도여주군여주읍여흥로157
251,경기여주군오학점,경기,여주군,경기여주시학동1길53
252,경기연천군군남점,경기,연천군,경기연천군군남면군왕로8
253,경기연천군대광리점,경기,연천군,경기도연천군신서면연신로1155-1
254,경기연천군백학점,경기,연천군,경기도연천군백학면두백로11-6
255,경기연천군연천점,경기,연천군,경기도연천군연천읍연천로330
256,경기연천군전곡점,경기,연천군,경기도연천군전곡읍은전로78번길30
257,경기오산시궐동점,경기,오산시,경기도오산시궐동로69번길7
258,경기오산시세교신도시점,경기,오산시,경기도오산시오산대역로132번길30
259,경기오산시운암1점,경기,오산시,경기도오산시운천로99
260,경기오산시원동갈곶점,경기,오산시,경기도오산시밀머리로29
261,경기용인시강남대점,경기,용인시,경기용인시기흥구강남동로114번길22
262,경기용인시구성점,경기,용인시,경기도용인시기흥구마북로98
263,경기용인시동백지구점,경기,용인시,경기도용인시기흥구평촌2로1번길9-1
264,경기용인시둔전점[B],경기,용인시,경기용인시처인구포곡읍포곡로124번길9-1
265,경기용인시모현점,경기,용인시,경기도용인시처인구모현면백옥대로2594
266,경기용인시백암점,경기,용인시,경기도용인시처인구백암면백암로201번길13-4
