,store,sido,gungu,store_address
700,서울강동구성내1점,서울,강동구,서울특별시강동구천호옛14길34
701,서울강동구암사2점,서울,강동구,서울특별시강동구고덕로28길10-5
702,서울강동구천호1점,서울,강동구,서울특별시강동구구천면로284
703,서울강동구천호2동점,서울,강동구,서울특별시강동구올림픽로78길15-4
704,서울강북구미아점,서울,강북구,서울특별시강북구도봉로34길39
705,서울강북구번동점,서울,강북구,서울특별시강북구오현로31길129
706,서울강북구삼각산점,서울,강북구,서울특별시강북구삼양로19길74
707,서울강북구수유2점,서울,강북구,서울강북구삼각산로99
708,서울강북구수유점,서울,강북구,서울특별시강북구삼양로68길12
709,서울강서구가양1점[B],서울,강서구,서울강서구양천로443-32
710,서울강서구까치산점,서울,강서구,서울강서구강서로12길40
711,서울강서구등촌2동점,서울,강서구,서울강서구등촌로51가길47
712,서울강서구등촌3동점,서울,강서구,서울강서구공항대로41길65
713,서울강서구방화1점,서울,강서구,서울강서구양천로24가길3
714,서울강서구방화2점,서울,강서구,서울강서구금낭화로26
715,서울강서구수명산파크점,서울,강서구,서울특별시강서구강서로47길108
716,서울강서구염창점,서울,강서구,서울강서구양천로637
717,서울강서구우장산점,서울,강서구,서울강서구우장산로2길7
718,서울강서구화곡1동점,서울,강서구,서울강서구가로공원로76길95
719,서울강서구화곡남부시장점,서울,강서구,서울강서구곰달래로53길50
720,서울강서구화곡본동점,서울,강서구,서울강서구초록마을로2길54
721,서울관악구관악구청점,서울,관악구,서울특별시관악구쑥고개로93
722,서울관악구난곡점,서울,관악구,서울관악구미성3길8
723,서울관악구봉천점,서울,관악구,서울관악구은천로9길14
724,서울관악구봉천중앙점,서울,관악구,서울특별시관악구남부순환로231길16
725,서울관악구봉천현대점[B],서울,관악구,서울관악구봉천로441
726,서울관악구신림2점,서울,관악구,서울특별시관악구신림로158
727,서울관악구신림남부점,서울,관악구,서울관악구남부순환로143길16
728,서울관악구신림점,서울,관악구,서울특별시관악구문성로215
729,서울관악구인헌점,서울,관악구,서울특별시관악구인헌길58
730,서울광진구구의3점,서울,광진구,서울특별시광진구구의로4길44
731,서울광진구군자송정점,서울,광진구,서울특별시광진구동일로52길15
732,서울광진구어린이대공원점,서울,광진구,서울특별시광진구광나루로521
733,서울광진구자양2점,서울,광진구,서울특별시광진구뚝섬로52가길6
734,서울광진구자양점,서울,광진구,서울특별시광진구능동로10길109
735,서울광진구중곡1점,서울,광진구,서울광진구면목로148
736,서울광진구중곡2점,서울,광진구,서울특별시광진구동일로64길14
737,서울광진구화양점,서울,광진구,서울특별시광진구아차산로21길43
738,서울구로구개봉점[B],서울,구로구,서울구로구개봉로11길34
739,서울구로구고척1점,서울,구로구,서울구로구경서로45
740,서울구로구고척스카이돔점,서울,구로구,서울구로구경인로430B-5
741,서울구로구구로1점,서울,구로구,서울구로구구로동로35길40
742,서울구로구구로시장점,서울,구로구,서울구로구구로동로28길93
743,서울구로구구로테크노마트점,서울,구로구,서울구로구새말로102
744,서울구로구근린공원점,서울,구로구,서울구로구고척로27길115
745,서울구로구남구로점,서울,구로구,서울구로구도림로12길24
746,서울구로구신도림점,서울,구로구,서울구로구신도림로11길43
747,서울구로구오류1점,서울,구로구,서울특별시구로구부일로953
748,서울구로구오류2점,서울,구로구,서울구로구오류로62
749,서울금천구가산점,서울,금천구,서울특별시금천구가산로3길55
750,서울금천구금천점,서울,금천구,서울금천구은행나무로22
751,서울금천구독산점,서울,금천구,서울금천구남부순환로126길69
752,서울금천구시흥2점,서울,금천구,서울특별시금천구금하로756
753,서울노원구공릉점,서울,노원구,서울특별시노원구공릉로42길21
754,서울노원구상계1점,서울,노원구,서울특별시노원구동일로237다길7
755,서울노원구상계2점,서울,노원구,서울특별시노원구상계로9가길17
756,서울노원구상계마들점,서울,노원구,서울특별시노원구한글비석로54길116
757,서울노원구상계중앙점,서울,노원구,서울노원구덕릉로459-37상계주공1단지가상
758,서울노원구중계2동점,서울,노원구,서울노원구동일로207길18
759,서울노원구중계4동점,서울,노원구,서울노원구덕릉로89길9
760,서울노원구중계본동점,서울,노원구,서울특별시노원구중계로12가길29
761,서울노원구하계1점,서울,노원구,서울특별시노원구공릉로59가길28
762,서울도봉구도봉1점,서울,도봉구,서울특별시도봉구마들로724
763,서울도봉구도봉산역점,서울,도봉구,서울도봉구도봉산3길37
764,서울도봉구방학1점,서울,도봉구,서울특별시도봉구도당로27길20
765,서울도봉구방학2점,서울,도봉구,서울특별시도봉구방학로117
766,서울도봉구신창점,서울,도봉구,서울특별시도봉구덕릉로60길161
767,서울도봉구쌍문점,서울,도봉구,서울도봉구노해로38길7
768,서울도봉구창동점,서울,도봉구,서울도봉구덕릉로59마길40
769,서울동대문구신이문점,서울,동대문구,서울특별시동대문구한천로421-1
770,서울동대문구용두1호점,서울,동대문구,서울특별시동대문구정릉천동로58
771,서울동대문구장안점,서울,동대문구,서울특별시동대문구장한로14길68
772,서울동대문구전농2점,서울,동대문구,서울특별시동대문구답십리로23길9
773,서울동대문구전농점,서울,동대문구,서울동대문구답십리로51길35
774,서울동대문구청량리점,서울,동대문구,서울특별시동대문구홍릉로50
775,서울동대문구회기점,서울,동대문구,서울동대문구회기로25길17-9
776,서울동대문구휘경1점,서울,동대문구,서울특별시동대문구한천로244-11
777,서울동작구노량진점,서울,동작구,서울특별시동작구만양로8길50
778,서울동작구대방점,서울,동작구,서울특별시동작구등용로127
779,서울동작구사당이수점,서울,동작구,서울동작구사당로27길64
780,서울동작구상도1점,서울,동작구,서울특별시동작구상도로50길9
781,서울동작구상도2호점,서울,동작구,서울특별시동작구성대로10길3
782,서울동작구신대방점,서울,동작구,서울특별시동작구여의대방로28
783,서울동작구중대점,서울,동작구,서울특별시동작구흑석로7길6-1
784,서울동작구총신대점,서울,동작구,서울특별시동작구솔밭로106
785,서울마포구공덕점,서울,마포구,서울마포구만리재로86
786,서울마포구광흥창역점,서울,마포구,서울특별시마포구독막로156
787,서울마포구마포역점,서울,마포구,서울특별시마포구새창로52현대아파트상가제12동156호
788,서울마포구망원점,서울,마포구,서울특별시마포구포은로68
789,서울마포구상암점[B],서울,마포구,서울특별시마포구월드컵북로47길46
790,서울마포구서교점,서울,마포구,서울특별시마포구월드컵북로7길11
791,서울마포구성산점,서울,마포구,서울특별시마포구월드컵북로27길19
792,서울마포구염리점,서울,마포구,서울특별시마포구마포대로11길921층
793,서울마포구홍대역점,서울,마포구,서울특별시마포구동교로192
794,서울서대문구남가좌점,서울,서대문구,서울특별시서대문구증가로10길5
795,서울서대문구북가좌2점,서울,서대문구,서울서대문구증가로211
796,서울서대문구연대점,서울,서대문구,서울특별시서대문구연세로7안길7
797,서울서대문구연희점,서울,서대문구,서울특별시서대문구연희로90
798,서울서대문구이대역점,서울,서대문구,서울특별시서대문구연세로2길84
799,서울서대문구홍은1점,서울,서대문구,서울서대문구간호대로16
