,store,sido,gungu,store_address
100,경기광주시양벌점,경기,광주시,경기도광주시오포읍양촌안길40
101,경기광주시오포2호점,경기,광주시,경기도광주시오포읍오포로347
102,경기광주시태전점,경기,광주시,경기도광주시태봉로20
103,경기구리시교문점,경기,구리시,경기구리시안골로20번길6
104,경기구리시수택점,경기,구리시,경기도구리시원수택로45
105,경기구리시인창점,경기,구리시,경기도구리시건원대로99번길80
106,경기군포시군포점,경기,군포시,경기도군포시군포로490번길12
107,경기군포시금정점,경기,군포시,경기도군포시당산로197번길4
108,경기군포시대야미점,경기,군포시,경기도군포시대야1로13
109,경기군포시산본목련점,경기,군포시,경기도군포시고산로643번길9
110,경기군포시산본역점[B],경기,군포시,경기도군포시쟁골2길16
111,경기김포시고촌점,경기,김포시,경기도김포시고촌읍은행영사정로35102
112,경기김포시김포1호점,경기,김포시,경기도김포시관순로28
113,경기김포시마송점,경기,김포시,경기도김포시통진읍조강로102
114,경기김포시양곡점,경기,김포시,경기도김포시김포한강9로121
115,경기김포시장기점,경기,김포시,경기도김포시김포한강3로290-16
116,경기김포시풍무점,경기,김포시,경기도김포시양도로18
117,경기남양주시광릉내점,경기,남양주시,경기도남양주시진접읍광릉내로82번길27
118,경기남양주시금곡점,경기,남양주시,경기도남양주시경춘로992번길1
119,경기남양주시덕소2호점,경기,남양주시,경기도남양주시와부읍수레로59
120,경기남양주시덕소점[B],경기,남양주시,경기도남양주시와부읍덕소로284번길10-7
121,경기남양주시도농점,경기,남양주시,경기도남양주시미금로42번길20-1
122,경기남양주시별내2호점,경기,남양주시,경기남양주시두물로39번길22-14
123,경기남양주시별내점,경기,남양주시,경기도남양주시별내3로63
124,경기남양주시사능점,경기,남양주시,경기도남양주시진건읍진건오남로86번길36
125,경기남양주시수동점,경기,남양주시,경기도남양주시수동면비룡로788
126,경기남양주시오남리점,경기,남양주시,경기도남양주시오남읍진건오남로595-22
127,경기남양주시월산점,경기,남양주시,경기도남양주시화도읍경춘로2186
128,경기남양주시진접지구점,경기,남양주시,경기도남양주시진접읍해밀예당2로125
129,경기남양주시창현점,경기,남양주시,경기도남양주시화도읍수레로1234-26
130,경기남양주시천마산점,경기,남양주시,경기남양주시화도읍먹갓로28번길15
131,경기남양주시퇴계원점,경기,남양주시,경기남양주시퇴계원면퇴계원로78번길3-2
132,경기남양주시평내점,경기,남양주시,경기도남양주시경춘로1286번안길24
133,경기남양주시호평점,경기,남양주시,경기남양주시천마산로16번길2
134,경기동두천시생연점,경기,동두천시,경기도동두천시삼육사로980
135,경기동두천시송내지구점,경기,동두천시,경기도동두천시동두천로149
136,경기동두천시중앙점,경기,동두천시,경기도동두천시동광로81번길15
137,경기부천시고강점,경기,부천시,경기도부천시오정구역곡로472번길31
138,경기부천시범박점,경기,부천시,경기도부천시소사구소사동로93
139,경기부천시상동북부점,경기,부천시,경기도부천시원미구송내대로265번길37
140,경기부천시상동점,경기,부천시,경기부천시조마루로105번길8-8
141,경기부천시소사점,경기,부천시,경기도부천시소사구은성로68번길23
142,경기부천시송내점,경기,부천시,경기도부천시소사구송내대로30번길71
143,경기부천시심곡북부점,경기,부천시,경기도부천시원미구부흥로450
144,경기부천시심곡점,경기,부천시,경기도부천시소사구심곡로67번길67
145,경기부천시여월점,경기,부천시,경기부천시삼작로335
146,경기부천시역곡남부점,경기,부천시,경기도부천시소사구부광로23
147,경기부천시역곡점,경기,부천시,경기도부천시원미구역곡로20번길86
148,경기부천시오정점,경기,부천시,경기도부천시오정구부천로478번길96
149,경기부천시원미점,경기,부천시,경기도부천시원미구조마루로386번길26
150,경기부천시원종점,경기,부천시,경기도부천시오정구소사로775번길50
151,경기부천시중동1점,경기,부천시,경기부천시중동로171번길13-1
152,경기부천시중동약대점,경기,부천시,경기도부천시원미구도약로221번길64
